12-15,TRUE
12-16,TRUE
12-17,FALSE
12-18,FALSE
12-19,FALSE
12-20,TRUE
12-21,TRUE
12-22,FALSE
12-23,FALSE
12-24,FALSE
12-25,FALSE
12-26,FALSE
12-27,TRUE
12-28,FALSE
12-29,TRUE
12-30,FALSE
12-31,TRUE
1-1,FALSE
1-2,TRUE
1-3,FALSE
1-4,TRUE
1-5,FALSE
1-6,FALSE
1-7,FALSE
1-8,FALSE
1-9,TRUE
1-10,TRUE
1-11,FALSE
1-12,FALSE
1-13,FALSE
1-14,FALSE
1-15,FALSE
1-16,FALSE
1-17,TRUE
1-18,TRUE
1-19,TRUE
1-20,FALSE
1-21,FALSE
1-22,FALSE
1-23,FALSE
1-24,FALSE
1-25,FALSE
1-26,FALSE
1-27,FALSE
1-28,FALSE
1-29,TRUE
1-30,FALSE
1-31,FALSE
2-1,FALSE
2-2,FALSE
2-3,FALSE
2-4,FALSE
2-5,FALSE
2-6,FALSE
2-7,FALSE
2-8,FALSE
2-9,FALSE
2-10,FALSE
2-11,FALSE
2-12,FALSE
2-13,FALSE
2-14,FALSE
2-15,FALSE
2-16,FALSE
2-17,FALSE
2-18,FALSE
2-19,FALSE
2-20,FALSE
2-21,FALSE
2-22,FALSE
2-23,FALSE
2-24,FALSE
2-25,FALSE
2-26,FALSE
2-27,FALSE
2-28,FALSE
3-1,FALSE
3-2,TRUE
3-3,TRUE
3-4,TRUE
3-5,TRUE
3-6,TRUE
3-7,TRUE
3-8,FALSE
3-9,FALSE
3-10,FALSE
3-11,FALSE
3-12,FALSE
3-13,TRUE
3-14,TRUE
3-15,TRUE
3-16,TRUE
3-17,FALSE
3-18,FALSE
3-19,TRUE
3-20,TRUE
3-21,TRUE
3-22,TRUE
3-23,TRUE
3-24,TRUE
3-25,FALSE
3-26,TRUE
3-27,TRUE
3-28,TRUE
3-29,TRUE
3-30,FALSE
3-31,TRUE
4-1,FALSE
4-2,FALSE
4-3,FALSE
4-4,FALSE
4-5,TRUE
4-6,FALSE
4-7,FALSE
4-8,FALSE
4-9,TRUE
4-10,TRUE
4-11,TRUE
4-12,TRUE
4-13,TRUE
4-14,TRUE
4-15,TRUE
4-16,TRUE
4-17,TRUE
4-18,TRUE
4-19,TRUE
4-20,TRUE
4-21,TRUE
4-22,TRUE
4-23,TRUE
4-24,TRUE
4-25,TRUE
4-26,TRUE
4-27,FALSE
4-28,TRUE
4-29,FALSE
4-30,FALSE
5-1,FALSE
5-2,FALSE
5-3,TRUE
5-4,FALSE
5-5,TRUE
5-6,FALSE
5-7,TRUE
5-8,TRUE
5-9,TRUE
5-10,TRUE
5-11,TRUE
5-12,FALSE
5-13,FALSE
5-14,FALSE
5-15,FALSE
5-16,TRUE
5-17,TRUE
5-18,TRUE
5-19,FALSE
5-20,TRUE
5-21,FALSE
5-22,TRUE
5-23,FALSE
5-24,FALSE
5-25,FALSE
5-26,FALSE
5-27,FALSE
5-28,FALSE
